time,ax,ay,az,gx,gy,gz,mx,my,mz
3267,-0.11,4.67,-18.64,-2.45,3.62,-1.79,8.70,37.09,6.35
3278,0.19,1.09,-15.88,-1.74,1.35,-1.72,8.70,37.09,6.35
3289,0.19,1.09,-15.88,-1.74,1.35,-1.72,8.70,37.09,6.35
3300,0.09,2.19,-14.40,-1.43,-0.18,-0.36,8.70,37.09,6.35
3311,-1.14,7.61,-12.84,0.06,-0.58,1.05,8.70,37.09,6.35
3322,-1.14,7.61,-12.84,0.06,-0.58,1.05,8.70,37.09,6.35
3333,-1.14,5.03,-10.39,0.27,-1.33,0.46,8.70,37.09,6.35
3344,-1.14,5.03,-10.39,0.27,-1.33,0.46,8.70,37.09,6.35
3355,-0.29,-0.69,-8.88,-1.37,-2.07,-0.07,8.70,37.09,6.35
3366,-0.29,-0.69,-8.88,-1.37,-2.07,-0.07,8.70,37.09,6.35
3377,-1.48,5.41,-10.50,-2.33,-1.70,1.36,8.52,29.10,5.49
3388,-1.48,5.41,-10.50,-2.33,-1.70,1.36,8.52,29.10,5.49
3399,-2.64,14.51,-13.00,-0.48,-0.53,2.44,8.52,29.10,5.49
3410,-1.90,11.39,-10.71,1.52,-0.11,1.03,8.52,29.10,5.49
3421,-1.90,11.39,-10.71,1.52,-0.11,1.03,8.52,29.10,5.49
3432,-0.42,0.03,-8.10,0.97,-0.51,-0.91,8.52,29.10,5.49
3443,-0.42,0.03,-8.10,0.97,-0.51,-0.91,8.52,29.10,5.49
3454,-1.08,2.39,-7.45,-1.53,-1.45,-0.15,8.52,29.10,5.49
3465,-1.08,2.39,-7.45,-1.53,-1.45,-0.15,8.52,29.10,5.49
3476,-2.71,11.40,-5.91,-1.87,-1.25,0.97,8.52,29.10,5.49
3487,-2.71,11.40,-5.91,-1.87,-1.25,0.97,8.52,29.10,5.49
3498,-2.70,13.00,-9.57,-0.32,0.25,0.39,14.73,26.44,9.44
3509,-2.70,13.00,-9.57,-0.32,0.25,0.39,14.73,26.44,9.44
3520,-0.87,5.68,-8.85,1.80,1.18,-0.69,14.73,26.44,9.44
3531,-0.22,0.78,-10.97,1.57,0.96,-0.55,14.73,26.44,9.44
3542,-0.22,0.78,-10.97,1.57,0.96,-0.55,14.73,26.44,9.44
3553,-0.85,6.47,-8.67,0.86,-0.35,0.96,14.73,26.44,9.44
3564,-0.85,6.47,-8.67,0.86,-0.35,0.96,14.73,26.44,9.44
